Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20220414T220756_20220414T220823_042775_051AE6_6F0E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220414T220756_20220414T220823_042775_051AE6_6F0E.zip,-109,S1A_IW_SLC__1SDV_20220426T220756_20220426T220823_042950_0520A6_24B2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220426T220756_20220426T220823_042950_0520A6_24B2.zip,-41,12
S1A_IW_SLC__1SDV_20220426T220756_20220426T220823_042950_0520A6_24B2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220426T220756_20220426T220823_042950_0520A6_24B2.zip,-41,S1A_IW_SLC__1SDV_20220508T220757_20220508T220824_043125_05267B_B066,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220508T220757_20220508T220824_043125_05267B_B066.zip,-142,12
S1A_IW_SLC__1SDV_20220613T220800_20220613T220826_043650_05361E_8B70,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220613T220800_20220613T220826_043650_05361E_8B70.zip,-68,S1A_IW_SLC__1SDV_20220625T220800_20220625T220827_043825_053B64_1E16,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220625T220800_20220625T220827_043825_053B64_1E16.zip,-8,12
S1A_IW_SLC__1SDV_20220625T220800_20220625T220827_043825_053B64_1E16,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220625T220800_20220625T220827_043825_053B64_1E16.zip,-8,S1A_IW_SLC__1SDV_20220707T220801_20220707T220828_044000_054091_8743,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220707T220801_20220707T220828_044000_054091_8743.zip,-39,12
S1A_IW_SLC__1SDV_20220812T220803_20220812T220830_044525_05504E_D2A1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220812T220803_20220812T220830_044525_05504E_D2A1.zip,-90,S1A_IW_SLC__1SDV_20220824T220804_20220824T220831_044700_05563D_406B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220824T220804_20220824T220831_044700_05563D_406B.zip,-116,12
S1A_IW_SLC__1SDV_20220824T220804_20220824T220831_044700_05563D_406B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220824T220804_20220824T220831_044700_05563D_406B.zip,-116,S1A_IW_SLC__1SDV_20220905T220805_20220905T220832_044875_055C24_222E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220905T220805_20220905T220832_044875_055C24_222E.zip,121,12
S1A_IW_SLC__1SDV_20220905T220805_20220905T220832_044875_055C24_222E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220905T220805_20220905T220832_044875_055C24_222E.zip,121,S1A_IW_SLC__1SDV_20220917T220805_20220917T220831_045050_056203_00DC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220917T220805_20220917T220831_045050_056203_00DC.zip,-114,12
S1A_IW_SLC__1SDV_20220917T220805_20220917T220831_045050_056203_00DC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220917T220805_20220917T220831_045050_056203_00DC.zip,-114,S1A_IW_SLC__1SDV_20220929T220805_20220929T220832_045225_0567DC_2B58,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220929T220805_20220929T220832_045225_0567DC_2B58.zip,-26,12
S1A_IW_SLC__1SDV_20220929T220805_20220929T220832_045225_0567DC_2B58,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220929T220805_20220929T220832_045225_0567DC_2B58.zip,-26,S1A_IW_SLC__1SDV_20221011T220805_20221011T220832_045400_056DC5_3CD0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221011T220805_20221011T220832_045400_056DC5_3CD0.zip,-183,12
S1A_IW_SLC__1SDV_20221011T220805_20221011T220832_045400_056DC5_3CD0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221011T220805_20221011T220832_045400_056DC5_3CD0.zip,-183,S1A_IW_SLC__1SDV_20221023T220805_20221023T220829_045575_0572F0_AD50,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221023T220805_20221023T220829_045575_0572F0_AD50.zip,-97,12
S1A_IW_SLC__1SDV_20221023T220805_20221023T220829_045575_0572F0_AD50,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221023T220805_20221023T220829_045575_0572F0_AD50.zip,-97,S1A_IW_SLC__1SDV_20221104T220805_20221104T220828_045750_0578D6_8A6F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221104T220805_20221104T220828_045750_0578D6_8A6F.zip,-165,12
S1A_IW_SLC__1SDV_20221104T220805_20221104T220828_045750_0578D6_8A6F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221104T220805_20221104T220828_045750_0578D6_8A6F.zip,-165,S1A_IW_SLC__1SDV_20221116T220804_20221116T220828_045925_057EC5_24D6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221116T220804_20221116T220828_045925_057EC5_24D6.zip,-144,12
S1A_IW_SLC__1SDV_20221116T220804_20221116T220828_045925_057EC5_24D6,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221116T220804_20221116T220828_045925_057EC5_24D6.zip,-144,S1A_IW_SLC__1SDV_20221128T220804_20221128T220828_046100_0584AE_360E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221128T220804_20221128T220828_046100_0584AE_360E.zip,18,12
S1A_IW_SLC__1SDV_20221128T220804_20221128T220828_046100_0584AE_360E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221128T220804_20221128T220828_046100_0584AE_360E.zip,18,S1A_IW_SLC__1SDV_20221210T220804_20221210T220831_046275_058AA8_D998,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221210T220804_20221210T220831_046275_058AA8_D998.zip,12,12
S1A_IW_SLC__1SDV_20221210T220804_20221210T220831_046275_058AA8_D998,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221210T220804_20221210T220831_046275_058AA8_D998.zip,12,S1A_IW_SLC__1SDV_20221222T220803_20221222T220826_046450_0590A0_E358,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221222T220803_20221222T220826_046450_0590A0_E358.zip,-147,12
S1A_IW_SLC__1SDV_20221222T220803_20221222T220826_046450_0590A0_E358,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221222T220803_20221222T220826_046450_0590A0_E358.zip,-147,S1A_IW_SLC__1SDV_20230103T220802_20230103T220826_046625_059693_14C9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230103T220802_20230103T220826_046625_059693_14C9.zip,-129,12
S1A_IW_SLC__1SDV_20230103T220802_20230103T220826_046625_059693_14C9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230103T220802_20230103T220826_046625_059693_14C9.zip,-129,S1A_IW_SLC__1SDV_20230115T220802_20230115T220825_046800_059C75_E98E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230115T220802_20230115T220825_046800_059C75_E98E.zip,-225,12
S1A_IW_SLC__1SDV_20230115T220802_20230115T220825_046800_059C75_E98E,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230115T220802_20230115T220825_046800_059C75_E98E.zip,-225,S1A_IW_SLC__1SDV_20230127T220802_20230127T220825_046975_05A25D_3FD3,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230127T220802_20230127T220825_046975_05A25D_3FD3.zip,0,12
